"","AA9","AA14","AA18","AA23","AA29","NAA11","NAA12","NAA13","NAA16","NAA19"
"SLC7A11",6.86707751594813,9.53934179016502,7.43205349130462,9.01861711602776,7.25569525116721,9.48697409249617,11.0515649574074,10.073906742464,10.6054015689568,10.2215399308974
"FLRT3",8.22120178849939,9.33517694493525,8.56513538610232,8.97225659722244,7.47931933859004,9.00772424666063,10.2410720831457,9.53915829942519,9.23210950282559,9.69553539270845
"ABCA4",8.34974606921404,9.85008511211502,8.68551771587214,9.33754568820475,6.59561555104208,10.1480119162539,11.2606733242714,10.3751314825615,11.2629223485953,10.3699405817788
"LAMP5",7.61350731346558,6.89641056415761,6.66034737459493,7.35771653422614,7.18567593921162,7.66067449182989,9.17914956973099,8.41900996423831,8.80034751351301,7.85752723563677
"TTTY10",5.53859495669024,5.93610298911637,5.75679969867026,5.82169356233267,5.6946826023879,7.11110767462013,5.79107262204666,7.79319356340429,7.42281669371255,6.94949336738089
"TXLNGY",4.71451218205899,4.47491969467031,4.58905377413834,4.33244016957759,4.3782082722033,9.86799688308777,4.29292443107793,9.71911881157399,9.2583825297289,9.40509346956228
"ZNF503-AS1",6.85125591506363,7.83666372100781,7.24689510368497,7.67209156391445,5.96967759376371,9.35542616667946,8.93108386935458,8.60022787972816,8.34322078127762,8.9004673803607
"FYB1",9.69787098985649,10.1954335948868,9.74890225279469,9.87446324704068,9.29063037140098,9.83220840365915,8.37450641526093,9.17359959389204,7.63292199441933,8.77444963235097
"LYG2",8.63417381633116,10.6262284847229,8.8724590881988,10.8862102137635,6.35789993012169,10.9212648635205,12.728175383659,11.2260750673637,11.4250879126491,11.9331936621156
"BAMBI",10.0040267918596,10.4674946183044,9.17118106309224,10.4035284200143,9.89419210499979,10.5886066503103,11.8919406934262,10.7440559296796,10.7903912648148,11.3938916858652
"PARM1",8.86795288526043,10.4610903774977,9.24538230448463,10.1872357679006,8.85605788717013,10.2886641150242,11.4704441942852,10.4953249463629,9.96057281238864,11.1135238915889
"GALNT2",7.67725990265284,8.04314485462298,7.69650357276426,8.18292192738517,7.89409166709274,8.30849595299649,9.38156400788973,9.30576108823128,9.21803293451266,8.79029553016212
"CNTNAP2",5.60615085252538,7.69982134674137,6.79188990549769,6.7325194040232,5.28002692639412,7.6659382219283,9.11071520984787,8.05879031152204,7.92896610843126,8.08119480425446
"GIMAP2",9.14286215931235,8.72038411909584,8.7819498919539,8.77980031760465,9.03212636135244,8.21888291153181,7.38789973438223,6.61732235367748,5.62651037735146,8.50123673190276
"CABYR",7.40076049633622,7.91576927344074,7.14155171508094,7.59592064800461,6.82036232894541,7.82604756075767,9.09624470977764,8.76231437069618,9.09479547832633,8.18698545444584
"EHF",8.65462717442832,9.29822459775986,9.60300543886098,8.99628912777496,9.64854683156352,8.81244924409467,8.23450484507951,7.55425266241674,6.78740325393246,8.96254135124478
"GBP1",9.43809111515564,9.83381471275033,9.62359246640719,9.61898930965014,8.43464404552201,8.81059903692879,8.40876056812177,7.63366511330254,7.89471604772382,8.61906350428478
"CYFIP2",9.67124021566536,10.9494184342067,10.3189818952655,10.7493501024764,9.3432144865931,11.1163340415677,11.8816142537983,11.213618563593,12.0585785393115,11.0397262692674
