"","AA9","AA14","AA18","AA23","AA29","NAA11","NAA12","NAA13","NAA16","NAA19"
"239062_at",5.97957355593525,5.56811338660042,6.06450004445454,5.51963832160654,6.22490986243807,6.53861863618237,6.23111530552091,5.79499708138531,5.80883058744242,5.44260070279852
"230195_at",5.41044254532372,5.7799247117029,5.76367110811952,5.63290832038195,5.39887310575754,5.61378087938058,6.11658024111611,6.21253304730304,6.37508384102934,5.90556912820035
"235928_at",6.39673594567067,6.42756293307288,6.30318646385381,6.74108183086563,6.85409288897761,6.14941154332804,6.99263221602725,6.81476646802366,7.18187589155604,6.03189392024714
"1556026_at",9.49382490579521,8.66772902082329,8.18774914723534,8.15828014456844,7.64648074215629,8.57341879810689,8.85318468694224,8.26260451563451,9.55107873444782,7.96226184394666
"1552327_at",8.28993196581455,7.0686398385033,7.40672403187426,6.91285153972635,7.10077813829853,7.66913508272771,6.80562945414007,7.28044135910401,7.55004266381668,6.74002786794959
"238413_at",9.40118153052609,8.2680512953189,8.75540911904193,8.7591092141464,8.63372433041716,8.54589539937524,8.878445316743,9.2020820730694,10.1218059970358,8.28902767092785
"1564257_at",9.06831379430221,8.49855928519215,9.12861451025174,8.82328348470118,9.39796894171808,9.50617810627278,8.57000597846867,9.68189120597705,8.47523703905108,8.99374436595778
"234685_x_at",11.5754347308254,13.7268202509183,12.1690746427641,13.6277367523244,8.72569976408643,13.761217189907,14.0809142730752,13.700170744356,13.8307117578138,13.9322104682118
"216810_at",10.5080822580001,12.9713873243867,10.7844885786021,12.8487847906099,6.38291910525096,13.0577840450976,13.583139060707,13.1068552748481,13.2380397840834,13.404588233001
"228438_at",6.77110427646637,6.18199418672072,6.88384757012689,6.30196470748974,6.82320081935664,6.21538897213493,6.11069839452163,5.64717041218596,5.7793111937595,6.08885108903167
"232300_at",9.38215869221243,8.760641922571,8.73583303493513,9.40305028002842,8.90967670759001,9.73968234267308,10.0041188810589,9.98752656691599,10.0335442706423,9.3613097355374
"1568854_at",5.99533206870287,6.16220190512119,6.34358922526251,6.76948365657043,5.43456439995847,6.29218149275537,6.20717032879971,5.83529094534855,6.27445261066524,5.59683127987569
"224110_at",7.2280248225547,6.65859025697969,6.34444434355585,6.79590760911432,6.37065823746461,6.79787265825965,7.34328218848871,7.86780219481139,8.49487533968912,6.525498114864
"209772_s_at",9.46764689942325,10.078016612069,10.0885455089216,9.31591032818541,8.78332528177106,9.96868239059429,10.2872357005589,9.65074695949852,9.73392475870007,10.1613768456088
"228066_at",7.56877892849003,9.1015744564706,9.13746442238345,8.08107498884859,8.45401821501524,8.69352017983523,8.243287713339,8.01369560697721,7.98371981197985,8.50586034553134
